ID,Earring,Background,Fur,Clothes,Mouth,Eyes,Hat
0,Silver Hoop,Void Black,Chrome,Striped Tee,Discomfort,X Eyes,
1,,Void Black,Chrome,Vietnam Jacket,Grin,Blue Beams,
2,,Void Black,Chrome,,Bored Cigarette,3d,Sky Captain's Hat
3,,Void Black,Cheetah,Fossil Necklace,Tongue Out,Bored,
4,,Void Black,Golden Brown,Navy Striped Tee,Phoneme L,Closed,Party Hat 2
5,,Void Black,Brown,Glowrift T Red,Dumbfounded,X Eyes,Glowrift Flipped Brim
6,,Void Black,Cream,Tweed Suit,Bored,Crazy,S&m Hat
7,,Void Black,Golden Brown,Wool Turtleneck,Bored,Angry,Stuntman Helmet
8,Gold Stud,Void Black,Phantom,,Bored,Chrome,Beanie
9,Silver Stud,Void Black,Brown,Stunt Jacket,Small Grin,Sleepy,Voyager's Hat
10,,Void Black,Dmt,Navy Striped Tee,Bored,Eyepatch,Glowrift Hat Red
11,,Void Black,Dark Brown,Smoking Jacket,Bored Unshaven Cigarette,Bloodshot,Laurel Wreath
12,,Void Black,Brown,Void Rift T,Discomfort,Wide Eyed,Voyager's Hat
13,,Void Black,Black,Fossil Tee,Bored,Coins,Patrol Motorcycle Helmet
14,Diamond Stud,Void Black,Cheetah,Tanktop,Small Grin,3d,
15,,Void Black,Gray,Black T,Phoneme L,Phantom,Girl's Hair Pink
16,Silver Hoop,Void Black,Dark Brown,Fossil Necklace,Dumbfounded,Bored,Horns
17,Gold Stud,Void Black,Tan,Glowrift T Black,Bored Unshaven,Closed,Crimson Hat
18,,Void Black,Chrome,Vietnam Jacket,Bored Cigarette,Neonborg,
19,,Void Black,Tan,,Rage,Eyepatch,Glowrift Hat Black
20,,Void Black,Gray,Bandolier,Phoneme Vuh,3d,Beanie
21,,Void Black,Black,Void Rift T,Phoneme ooo,Bored,
22,Gold Stud,Void Black,Phantom,Tuxedo Tee,Bored Unshaven,Sleepy,S&m Hat
23,,Void Black,Chromatic,,Bored Pipe,Bored,Beanie
24,,Void Black,Black,Glowrift T Black,Dumbfounded,Hypnotized,Fez
25,,Void Black,Brown,Guayabera,Bored Cigarette,Closed,
26,,Void Black,Dark Brown,Stunt Jacket,Bored Cigarette,3d,Stuntman Helmet
27,,Void Black,Gray,Sleeveless T,Bored,Bored,Shadow Hat
28,Silver Stud,Void Black,Tan,,Bored Cigarette,X Eyes,Glowrift Flipped Brim
29,,Void Black,Tan,,Bored Unshaven,Chrome,
30,,Void Black,Gray,Tuxedo Tee,Bored Unshaven Cigarette,Prismatic,
31,Silver Hoop,Void Black,Dmt,Void Rift T,Bored Unshaven,Eyepatch,Party Hat 2
32,,Void Black,Dark Brown,Hip Hop,Bored,Sunglasses,Halo
33,,Void Black,Red,Vietnam Jacket,Small Grin,Closed,Girl's Hair Pink
34,,Void Black,Black,Sleeveless T,Bored,Sleepy,Glowrift Hat Red
35,,Void Black,Void Bot,Navy Striped Tee,Jovial,3d,
36,,Void Black,Dark Brown,Sailor Shirt,Bored Unshaven,Bored,
37,Silver Hoop,Void Black,Blue,Striped Tee,Bored,Bored,Bowler
38,Cross,Void Black,Black,Navy Striped Tee,Bored Cigarette,Closed,
39,,Void Black,Gray,Leather Jacket,Dumbfounded,Bloodshot,Fez
40,,Void Black,Dark Brown,Biker Vest,Bored,Sad,Spinner Hat
41,,Void Black,Dark Brown,Navy Striped Tee,Phoneme ooo,Sad,Sky Captain's Hat
42,,Void Black,Dark Brown,Biker Vest,Bored Pizza,Coins,Baby's Bonnet
43,Silver Stud,Void Black,Brown,Wool Turtleneck,Grin,Coins,
44,Gold Stud,Void Black,Gray,Tweed Suit,Bored Unshaven,Coins,Baby's Bonnet
45,Silver Stud,Void Black,Black,Lumberjack Shirt,Phoneme Wah,Eyepatch,
46,,Void Black,Gray,Fossil Necklace,Bored,Heart,Fez
47,,Void Black,Pink,,Bored Cigarette,3d,Sky Captain's Hat
48,,Void Black,Red,Prison Jumpsuit,Bored Unshaven,Scumbag,
49,Silver Stud,Void Black,Cheetah,Fossil Tee,Bored Unshaven Cigarette,Bored,Fisherman's Hat
50,,Void Black,Chrome,Sailor Shirt,Tongue Out,Bored,Voyager's Hat
